Unnamed: 0,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
149196,190001093630,2019,1,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,1,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,506.0,510.0,513.0,517.0,404.5,456.5,498.2,362.2,EEEBBBDEDBABCCCABDDBCACEBDEBCDBBCBDBBBBDDADDA,ABBCABECCBBDDEACEBDECABAEABBEBCDBAEBCCAADABED,AECBA99999DBBAEBECDEDCDCBEAABCBDDBDBAABDBDBCEADCEC,CCCCAEBDADADAADCCCAADCEBEDCBAEDCBDABDBDBADDBD,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,160.0,120.0,120.0,160.0,80.0,640.0,H,H,A,B,4,B,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,B,A,A,A
150121,190001093655,2019,2,F,1,4,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,506.0,507.0,511.0,517.0,450.2,578.6,580.0,627.8,ADCCABCDDCAADCEBCCDBBACBDEDDBEDDCEBEDBBEDBCDC,EEBCABABCECDCCDEEBCAEACBEDBECAECDECAADBDACBEB,99999ABDADCCDBDDCAACDAAECDDEEADCACCDEBBAADEBDCCCCE,CABBDEEABDACDDDBAECAAAEDCDBBDDEADECCADECEBBEA,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,160.0,120.0,140.0,120.0,120.0,660.0,H,H,F,F,4,B,A,B,C,A,B,B,A,B,A,A,A,A,A,A,A,B,A,A,A
154146,190001078899,2019,2,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,506.0,507.0,511.0,517.0,434.2,455.8,496.4,543.7,DDDCEBDECCACDEDEACBCBBEAACCDCEDCCAEBCBEDDCBEB,CCBCABACEBECECBCABDBCBCECBEDCCECBCDABBECDBCAD,99999CBADEDCBDBECAEEDBCECDAEAEECCEBCCBDDEDEEEDCBBE,EABDDDECAEACDEBBECACABDBCDBACDDBCCABAEEDEADBB,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,160.0,120.0,140.0,160.0,140.0,720.0,H,H,F,F,4,B,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,B,A,A,A
156086,190001080695,2019,3,F,0,0,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,503.0,509.0,514.0,515.0,402.2,443.3,471.7,363.7,CBEEEEBACECECEACDEDAEBCEDBEEACCCBDEAEECDACCCA,CCACABACCCAACBECABAEEAEBAEBADCADAABEAACACABDD,99999EBBBBBCCEECECDBDACCADCCAEBBEEBDBCADECCBECBBEC,BBBDAACCBBCDDEECACBDAAAEAEDEBDCABECDEEECEEBBE,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,120.0,120.0,120.0,180.0,0.0,540.0,H,H,F,F,4,C,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
156686,190001080708,2019,2,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,508.0,512.0,518.0,536.6,543.2,490.3,392.4,BCDCBEBDBDDCCBAAAEBDCBBDBCACEABBBAECBADECADDD,ABABCCBBBCABCCABDCEEADBCABCBABCABCBBCCEABECAC,DAAEC99999CBEBCEECADCAECDEABBBDBCBBCADDBCCDDAABDCA,ECBCADBCBAEDBBCDCBAACCEBCBDCEBBEDEABDBAAAECEC,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,140.0,120.0,160.0,80.0,620.0,C,E,F,A,12,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,A
158364,190001092266,2019,2,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,504.0,508.0,512.0,516.0,377.9,451.9,475.0,362.8,CDABCAAECCBBAADBCACCCDCDDACCACEAAEBADECDCBBEE,DDAACCBDAAECCDBBEDAAEDCDADCBCBCDCEECDCBCDBAAC,99999ABCAAABDBEBACCBAEABEBABBAECDDEAABCEECBACACDBC,DAADCBBEEABCDDDCBBEDECADACEACDCDBBAACEECBDADB,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,100.0,120.0,100.0,120.0,0.0,440.0,H,H,F,F,4,C,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
159668,190001092299,2019,2,F,1,1,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,504.0,507.0,511.0,516.0,461.5,451.0,555.9,567.7,DEDAEECBEABEDCCCBCAECCAEBBDBBDBCBDACCAEDBDBBE,ABACAACEABECABAAABAADACDEDDDEABACADEDBAACBDEB,BDDEC99999BCBEBDABECDACECDAECEECADBAEBCADDDBACCCCB,BABDCDACDCBCAECBCDDDEEBECDBBDBCAEBADDEBBCDBBA,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,120.0,120.0,100.0,580.0,G,E,D,D,5,C,A,C,D,A,B,B,B,B,A,B,A,A,B,A,B,E,A,B,B
162328,190001093788,2019,3,F,0,0,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,509.0,514.0,518.0,423.2,473.7,530.2,460.9,DDDABADDEBCECDEABECBEDCCBDBBADDDDEEEDCDECCAED,EEABBADEDBAEEDAABAECEEDEBDDBBACBAEADECDBCBADD,99999DEAEABBCBECEBEBDADDCDEBDEAACAEDBCAACACEACCEBC,EBDCABCAADAABBCEDAEAECEAAECCBBBDCEBBCAADBCADD,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,120.0,120.0,120.0,0.0,480.0,H,H,F,F,4,B,A,B,B,A,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A
164410,190001069141,2019,7,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,B,A,A,4,B,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,B,A,A,B
166392,190001070634,2019,6,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,B,C,B,3,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,A
